M00574-TRU-20230125_output	M00580_TRU_20230913_output
1024	0	0
9223	0	0
5082	0	0
2312	0	0
6308	0	0
14306	0	0
15286	0	0
14317	0	0
13975	0	0
4285	0	0
5117	0	0
14307	0	0
4348	0.270896995412603	-0.270896995412603
15322	0	0
17244	0	0
5075	0	0
14301	0	0
1836	0.988264549606324	-0.988264549606324
2303	0	0
6460	0	0
6438	0	0
15368	0	0
1814	-0.23994641820545	0.23994641820545
14297	0	0
15165	0	0
14311	0	0
17278	0	0
15300	0	0
14114	0	0
33442	0	0
1949	0	0
6293	0	0
15236	0	0
5087	0	0
2318	-1.63310071499174	1.63310071499174
6497	0	0
1472	0	0
1679	0	0
8021	0	0
1613	0	0
15332	0	0
6526	0	0
1626	0	0
1668	0	0
15342	0	0
5825	0	0
15106	0	0
2071	0	0
4940	0	0
15316	0	0
1903	0	0
17345	0	0
1588	0	0
1930	0	0
15318	0	0
15091	0	0
6271	0	0
1883	0	0
47280	0	0
1798	0	0
15254	0	0
6187	0	0
15346	0	0
6350	0	0
4925	0	0
5190	0	0
65115	0	0
4837	0	0
5785	0	0
15256	0	0
14003	0	0
1408	0	0
4910	0	0
15053	0	0
4811	0	0
2295	0	0
15355	0	0
9286	0	0
4993	0	0
8071	0	0
1790	0	0
4933	0	0
15234	0	0
6267	0	0
6602	0	0
13976	0	0
8053	0	0
6077	0	0
14237	0	0
4922	0	0
4938	0	0
15265	0	0
4584	0	0
29097	0	0
